"ID_UNIDADE_ORC";"SQA_UNIDADE_ORCAM";"ANO_EXERCICIO";"CD_UNIDADE_ORC";"ID_GRUPO_ADMINISTRACAO";"GRUPO_ADMINISTRACAO";"ID_ADMINISTRACAO";"ADMINISTRACAO";"NOME"
7633;2145;2016;1701;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO EXTRAORDINARIA DE DESENVOLVIMENTO INTEGRADO E FOR"
7349;2011;2016;1081;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ADVOCACIA-GERAL DO ESTADO"
7362;2024;2016;1261;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE EDUCACAO"
7369;2031;2016;4341;4;"FUNDOS";4;"FUNDOS";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M"
7380;2044;2016;4331;4;"FUNDOS";4;"FUNDOS";"FUNDO DE DESENVOLVIMENTO METROPOLITANO"
7381;2048;2016;1481;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL"
7385;2052;2016;1491;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE GOVERNO"
7430;2090;2016;2181;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO CLOVIS SALGADO"
7436;2096;2016;2271;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS"
7437;2097;2016;2281;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS"
7597;2104;2016;2361;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS"
7605;2112;2016;2451;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO CENTRO INTERNACIONAL DE EDUCACAO, CAPACITACAO E PESQUISA APLICADA EM AGUAS"
7609;2116;2016;3151;5;"EMPRESAS DEPENDENTES";5;"EMPRESA EST. DEPENDENTES";"EMPRESA MINEIRA DE COMUNICACAO"
7612;2120;2016;4101;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE HABITACAO"
7348;2010;2016;1071;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS"
7359;2021;2016;1221;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR"
7368;2030;2016;1371;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL"
7371;2033;2016;1411;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE TURISMO"
7373;2035;2016;1451;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE ADMINISTRACAO PRISIONAL"
7374;2036;2016;4141;4;"FUNDOS";4;"FUNDOS";"FUNDO PENITENCIARIO ESTADUAL"
7403;2063;2016;1631;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA-GERAL"
7409;2069;2016;1911;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS"
7415;2075;2016;2011;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS"
7418;2078;2016;2061;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO JOAO PINHEIRO"
7428;2088;2016;2161;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO EDUCACIONAL CAIO MARTINS"
7439;2099;2016;4381;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES"
7606;2113;2016;2461;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO"
