"ID_TEMPO";"ID_PODER";"ID_UNIDADE_ORC";"ANO_PARTICAO";"VR_ATIVO";"VR_INATIVO";"VR_PENSIONISTA";"VR_CONTRATADO"
4009;3;7603;2016;297260,51;0;0;0
4010;3;7421;2016;1278631,84;0;0;0
4010;3;7368;2016;5952826,99;0;0;837,94
4010;3;7379;2016;575351,44;0;0;0
4011;4;7350;2016;93161879,26;21959053,74;4705407,93;0
4009;3;7608;2016;6476279,37;0;0;0
4012;3;7423;2016;474420,03;0;473,27;0
4008;3;7441;2016;7466889,29;0;0;519491,12
4008;3;7409;2016;0;0;0;0
4008;3;7596;2016;6542070,73;0;0;1136144,13
4008;3;7440;2016;10607664,36;0;0;134151,87
4008;3;7360;2016;652908,13;0;0;0
4008;3;7395;2016;0;0;0;0
4009;3;7604;2016;782423,93;0;0;0
4008;3;7439;2016;0;0;0;0
4010;3;7598;2016;10554304,92;0;0;0
4010;3;7417;2016;170894,61;0;0;0
4012;3;7437;2016;536879,43;0;0;0
4011;3;7422;2016;4731026,66;0;0;0
4011;3;7428;2016;210262,39;0;440;0
4012;3;7413;2016;0;0;15723347,09;0
4015;3;7436;2016;56476177,51;0;66535,63;9500569,28
4015;3;7348;2016;503949,93;0;0;0
4017;3;7367;2016;691041,57;0;0;1849,34
4017;3;7401;2016;178878,08;0;0;0
4017;3;7432;2016;908798,57;0;0;43876,63
4017;3;7413;2016;0;0;15782123,7;0
4018;3;7601;2016;733052,75;0;0;0
4010;1;7597;2016;0;0;0;0
4008;3;7415;2016;16830185,3;0;7920;0
4007;3;7423;2016;513699,13;0;1297,81;0
4011;3;7602;2016;523999,05;0;0;0
4011;3;7353;2016;341171,46;0;0;0
4013;2;7346;2016;0;0;0;0
4013;3;7397;2016;591928,75;0;0;0
4014;3;7371;2016;473503,61;0;0;0
4015;3;7395;2016;0;0;0;0
4016;3;7395;2016;0;0;0;0
4017;3;7357;2016;76858345,97;0;0;0
4011;1;7597;2016;0;0;0;0
4009;1;7343;2016;48689212,92;23131734,32;173763,76;0
4012;3;7606;2016;152210,36;0;0;0
4013;3;7387;2016;129443650,1;0;0;0
4013;3;7595;2016;971214,79;0;0;0
4013;3;7604;2016;737511;0;0;0
4014;3;7440;2016;11723573,33;0;0;670594,56
4014;4;7352;2016;0;0;0;0
4014;3;7354;2016;87365,02;0;0;0
4012;3;7603;2016;307194,35;0;0;0
4013;3;7361;2016;376580220,86;422684373,2;0;0
4014;3;7372;2016;18769010,56;6320041,21;0;0
4014;3;7595;2016;936990,26;0;0;0
4016;3;7372;2016;19170150,31;6170292,49;0;0
4016;2;7345;2016;234391369,88;78662777,81;13533710,23;0
4017;3;7598;2016;10138244,99;0;0;2779,95
4017;3;7353;2016;232956,15;0;0;0
4007;3;7387;2016;124403895,81;0;0;0
4007;3;7438;2016;8850200,62;0;231336,59;0
4007;3;7403;2016;1011914,74;0;0;0
4012;3;7362;2016;597098994,36;0;0;244106,31
4011;1;7343;2016;60535755,49;25713141,73;209315,34;0
4013;4;7350;2016;118878376,43;28411910,54;7017614,95;0
4013;3;7370;2016;53899617,93;23289536,17;0;0
4014;3;7427;2016;862961,58;0;0;0
4016;3;7429;2016;157571,78;0;0;0
4017;3;7438;2016;75749593,16;0;225026,41;0
