id_linha_fornec;sqa_linha_fornec;cd_linha_fornec;nome
1831156;525;3810;"EQUIPAMENTOS DE REFRIGERACAO"
1831157;526;3815;"EQUIPAMENTOS INDUSTRIAIS DE VENTILACAO E CIRCULACAO"
1831158;527;3820;"EQUIPAMENTOS DE CONDICIONAMENTO DE AR"
1831159;528;3825;"COMPONENTES E ACESSORIOS PARA EQUIPAMENTOS DE REFRIGERACAO, CONDICIONAMENTO DE AR, VENTILACAO E CIRCULACAO"
1831160;529;3910;"ARTIGOS E COMPONENTES PARA COMBATE A INCENDIO"
1831161;530;3915;"EQUIPAMENTOS, COMPONENTES, ACESSORIOS E ARTIGOS PARA RESGATE, BUSCA E SALVAMENTO"
1831162;531;3920;"EQUIPAMENTOS, COMPONENTES E ACESSORIOS PARA BUSCA E SALVAMENTO"
1831163;532;3925;"COMPONENTES E ACESSORIOS PARA PROTECAO INDIVIDUAL"
1831164;533;3930;"EQUIPAMENTOS E ARTIGOS PARA DETECCAO, ALARME E SEGURANCA PATRIMONIAL"
1831165;534;4010;"COMPRESSORES E BOMBAS DE VACUO"
1831166;535;4015;"COMPRESSORES E BOMBAS DE VACUO, BOMBAS MANUAIS, MECANICA,MOTO BOMBAS"
1831167;536;4020;"CENTRIFUGAS, SEPARADORES, FILTROS A PRESSAO E A VACUO_E BOMBAS SIMPLES"
1831168;537;4025;"COMPONENTES PARA BOMBAS E COMPRESSORES"
1831169;538;4110;"EQUIPAMENTOS PARA PURIFICACAO DE AGUA E COMPONENTES(CONSUMO)"
1831170;539;4115;"EQUIPAMENTOS E ARTIGOS PARA TRATAMENTO DE ESGOTOS E EFLUENTES_(PERMA NENTE)"
1831171;540;4210;"TUBOS, CONDUTOS, MANGUEIRA, TUBULACOES FLEXIVEIS E CORRELATOS"
1831172;541;4215;"MANGUEIRAS E TUBULACOES FLEXIVEIS"
1831173;542;4220;"CONEXOES E ACESSORIOS PARA TUBOS E MANGUEIRAS"
1831174;543;4310;"VALVULAS, REGISTROS E COMPONENTES"
1831175;544;4315;"REGISTROS E COMPONENTES"
1831176;545;4410;"FERRAMENTAS MOTORIZADAS E NAO MOTORIZADAS(CONSUMO)"
1831177;546;4415;"FERRAMENTAS MOTORIZADAS E NAO MOTORIZADAS(PERMANENTE)"
1831178;547;4420;"COMPONENTES E ACESSORIOS PARA FERRAMENTAS"
1831179;548;4510;"FERRAGENS"
1831180;549;4515;"MATERIAIS DE FIXACAO E VEDACAO"
1831181;550;4520;"MATERIAIS PARA VEDACAO"
1831182;551;4525;"TELAS E TECIDOS METALICOS"
1831183;552;4530;"MATERIAIS ABRASIVOS"
1831184;553;4610;"ESTRUTURAS PRE-FABRICADAS"
1831185;554;4615;"ESTRUTURAS PRE FABRICADAS DE CONCRETO, MADEIRA E METAL (CONSUMO)"
1831186;555;4620;"ESTRUTURAS PRE FABRICADAS DE MADEIRA"
1831187;556;4625;"ESTRUTURAS PRE-FABRICADAS DE CONCRETO, MADEIRA E METAL"
1831188;557;4630;"TANQUES DE ARMAZENAGEM E COMPONENTES"
1831189;558;4710;"MATERIAIS PARA CONSTRUCAO"
1831190;559;4715;"MADEIRAS E PRODUTOS DERIVADOS"
1831191;560;4720;"PORTAS, JANELAS, PORTOES E CERCADOS"
1831192;561;4725;"TINTAS, VERNIZES, ARTIGOS PARA PINTURA E CORRELATOS"
1831193;562;4730;"ADESIVOS"
1831194;563;4735;"MATERIAL PARA ISOLAMENTOS TERMICO E ACUSTICO"
1831195;564;4740;"MATERIAIS PARA COBERTURAS"
1831196;565;4745;"PECAS E ACESSORIOS HIDRAULICO SANITARIOS"
1831197;566;4750;"PISOS, AZULEJOS E MATERIAIS PARA ACABAMENTO"
1831198;567;4755;"MATERIAIS DIVERSOS PARA CONSTRUCAO"
1831199;568;4760;"EQUIPAMENTOS PARA CONSTRUCAO CIVIL"
1831200;569;4765;"COMPONENTES E ACESSORIOS PARA EQUIPAMENTOS DE CONSTRUCAO CIVIL"
1831201;570;4810;"EQUIPAMENTOS DE COMUNICACAO"
