"id_tempo";"id_procedimento";"id_orgao_demanda";"id_orgao_contrato";"id_situacao_proc";"id_situacao_cont";"id_municipio";"id_contratado";"id_grupo_matserv";"id_classe_matserv";"id_material_servico";"id_item_matserv";"id_processo";"id_contrato";"id_unidade_medida";"id_linha_fornec";"id_item";"id_unidade_orc";"sqa_procedimento";"sqa_item_pedido";"ano_particao";"dt_item_homologa";"qt_item_pedido";"vr_un_referencia";"vr_referencia";"vr_un_homologado";"vr_homologado";"vr_atualizado"
47098;15;1831008;50;1;8;883;20176;42;399;16571;60532;318801;46296;889;1831334;2923;2925;36;2914641;2020;"14/02/2020";1500;2,08;3120;2,08;3120;3120
47098;15;1831008;50;1;8;883;19946;42;525;2617;55275;318801;46296;889;1831334;2923;2925;36;2914640;2020;"14/02/2020";600;0,3;180;0,3;180;180
47098;15;1831008;50;1;8;883;21499;42;399;8233;7234;318801;46296;889;1831334;2923;2925;36;2914639;2020;"14/02/2020";200;23;4600;23;4600;4600
47098;15;1831008;50;1;8;883;21107;42;399;18630;118859;318801;46296;889;1831334;2923;2925;36;2914638;2020;"14/02/2020";100;5,49;549;5,49;549;549
47098;15;1831008;50;1;8;883;19946;42;399;704;105447;318801;46296;933;1831334;2923;2925;36;2914637;2020;"14/02/2020";100;31,5;3150;31,5;3150;3150
47098;15;1831008;50;1;8;883;36057;42;399;8299;133700;318801;46296;889;1831334;2923;2925;36;2914636;2020;"14/02/2020";1000;1,65;1650;1,65;1650;1650
47098;15;1831008;50;1;8;883;36057;42;399;8299;75534;318801;46296;889;1831334;2923;2925;36;2914635;2020;"14/02/2020";2000;1,65;3300;1,65;3300;3300
47098;15;1831008;50;1;8;883;20555;42;525;2617;55273;318801;46296;889;1831334;2923;2925;36;2914634;2020;"14/02/2020";240;1,6;384;1,6;384;384
47098;15;1831008;50;1;8;883;35542;42;399;6643;95913;318801;46296;889;1831334;2923;2925;36;2914633;2020;"14/02/2020";400;6,68;2672;6,68;2672;2672
47098;15;1831008;50;1;8;883;20176;42;399;11760;62190;318801;46296;889;1831334;2923;2925;36;2914632;2020;"14/02/2020";10000;0,2;2000;0,2;2000;2000
47098;15;1831008;50;1;8;883;21107;42;399;10860;130986;318801;46296;889;1831334;2923;2925;36;2914631;2020;"14/02/2020";30;15,8;474;15,8;474;474
47098;15;1831008;50;1;8;883;20176;42;399;13190;129452;318801;46296;889;1831334;2923;2925;36;2914630;2020;"14/02/2020";200;7,99;1598;7,99;1598;1598
47098;15;1831008;50;1;8;883;13711;42;624;10733;10036;318801;46296;889;1831334;2923;2925;36;2914629;2020;"14/02/2020";600;1,8;1080;1,8;1080;1080
47091;15;1831008;50;1;8;883;18682;42;399;10825;147933;318811;46296;889;1831334;2923;2925;36;2912972;2020;"14/02/2020";1350;0,18;243;0,18;243;243
47091;15;1831008;50;1;8;883;20931;42;399;503;11662;318811;46296;889;1831334;2923;2925;36;2912971;2020;"14/02/2020";800;1,1;880;1,1;880;880
47091;15;1831008;50;1;8;883;17532;42;624;10733;8733;318811;46296;889;1831334;2923;2925;36;2912970;2020;"14/02/2020";10000;0,09;900;0,09;900;900
47091;15;1831008;50;1;8;883;21252;42;399;14145;94083;318811;46296;889;1831334;2923;2925;36;2912969;2020;"14/02/2020";20;81,85;1637;81,85;1637;1637
47091;15;1831008;50;1;8;883;35542;42;399;6643;95913;318811;46296;889;1831334;2923;2925;36;2912968;2020;"14/02/2020";200;6,68;1336;6,68;1336;1336
47091;15;1831008;50;1;8;883;23952;42;399;3436;27950;318811;46296;889;1831334;2923;2925;36;2912967;2020;"14/02/2020";1000;0,48;480;0,48;480;480
47091;15;1831008;50;1;8;883;20176;42;399;15858;82337;318811;46296;889;1831334;2923;2925;36;2912966;2020;"14/02/2020";3000;0,51;1530;0,51;1530;1530
47091;15;1831008;50;1;8;883;14402;42;624;2986;176382;318811;46296;1544;1831334;2923;2925;36;2912965;2020;"14/02/2020";300;4,26;1278;4,26;1278;1278
