id_unidade_orc;sqa_unidade_orcam;ano_exercicio;cd_unidade_orc;id_grupo_administracao;grupo_admiistracao;id_administracao;administracao;nome
2747;663;2006;2361;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS"
2748;668;2006;2391;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS"
2749;687;2006;4431;4;"FUNDOS";4;"FUNDOS";"FUNDO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS"
2750;694;2006;1471;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO REGIONAL E POLITICA URBANA"
2751;1220;2010;4421;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS"
2752;1223;2010;2421;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS"
2753;1224;2010;4431;4;"FUNDOS";4;"FUNDOS";"FUNDO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS"
2754;1229;2010;1481;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL"
2755;1232;2010;1511;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS"
2756;1235;2010;4441;4;"FUNDOS";4;"FUNDOS";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS"
2757;1245;2010;4501;4;"FUNDOS";4;"FUNDOS";"FUNDO DE EQUALIZACAO DO ESTADO DE MINAS GERAIS"
2758;844;2008;1011;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS"
2759;848;2008;1031;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS"
2760;851;2008;4041;4;"FUNDOS";4;"FUNDOS";"FUNDO DE DESENVOLVIMENTO REGIONAL DO JAIBA"
2761;853;2008;1051;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS"
2427;487;2005;2181;2;"AUTARQUIAS E FUNDAÇÕES";3;"FUNDACOES";"FUNDACAO CLOVIS SALGADO"
2428;490;2005;1191;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE FAZENDA"
2429;1553;2012;2461;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO"
2430;1554;2012;4561;4;"FUNDOS";4;"FUNDOS";"FUNDO DE ERRADICACAO DA MISERIA"
2431;1332;2011;2391;2;"AUTARQUIAS E FUNDAÇÕES";2;"AUTARQUIAS";"IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS"
2432;1339;2011;3041;5;"EMPRESAS DEPENDENTES";5;"EMPRESA EST. DEPENDENTES";"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS"
2433;1340;2011;3051;5;"EMPRESAS DEPENDENTES";5;"EMPRESA EST. DEPENDENTES";"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS"
