id_tempo;id_processo;id_orgao_contrato;id_contrato;id_contratado;id_situacao_cont;ano_particao;vr_homologado;vr_atualizado
37844;175547;15;6394;23572;4;2013;4189,60;4189,60
37462;140164;81;2186;19741;4;2013;72902,70;72902,70
36525;234488;22;2969;18702;4;2012;2610,00;2610,00
36516;135804;42;2120;19062;4;2012;213441,57;237138,01
36508;115753;57;32331;20662;4;2012;20328,44;20328,44
36515;147776;96;12149;15192;4;2012;959994,08;959994,08
36954;120008;24;40793;18797;4;2012;27800,00;27800,00
36968;103980;55;27219;18513;3;2012;728000,21;728000,21
37888;175643;95;34160;18757;2;2013;33830,00;42279,00
36954;92533;36;36646;22100;4;2012;10480,00;10480,00
36105;33379;67;53491;45481;4;2012;12000,00;12000,00
37008;210484;99;36645;17993;4;2012;2538,00;2538,00
36483;210819;16;25623;20782;4;2012;35750,00;35750,00
37861;167554;95;51875;25152;4;2013;60000,00;60000,00
37477;238655;93;28155;24127;4;2013;25493,00;25493,00
37397;25597;95;13031;24351;4;2013;41520,00;47102,27
37456;56951;36;33236;16687;4;2013;29160,00;29160,00
36960;159564;12;8064;22654;4;2012;10570,00;10570,00
37426;49202;12;15552;19095;4;2013;18687,00;212182,86
37392;29530;95;21412;19707;4;2013;40200,00;40200,00
36036;167564;25;52686;31915;4;2012;22956,00;78573,75
37413;128029;96;1333;20744;2;2013;1174950,47;1174950,47
37408;64707;95;39119;20914;4;2013;4574,16;4859,77
36925;72912;76;39958;15622;4;2012;61629,60;62135,56
36971;29341;93;41700;21569;4;2012;693400,00;693400,00
37443;120265;16;44184;18640;4;2013;1764,00;1764,00
37399;187062;95;8061;35760;4;2013;57600,00;57600,00
37412;88609;95;37510;10210;4;2013;29000,00;29000,00
37456;183119;12;45023;20869;4;2013;14000000,00;14000000,00
36996;206872;16;36666;23732;4;2012;33800,00;33800,00
36981;147910;93;47565;22315;4;2012;38499,00;38499,00
37411;41319;95;15571;20404;4;2013;299979,00;299979,00
36998;45191;57;1334;22828;4;2012;5231,99;5231,99
36993;139877;54;45902;21223;4;2012;5500,00;6875,00
36557;53149;100;9724;22519;3;2012;2720,00;2720,00
42832;88605;95;39976;19097;4;2011;7624,50;30498,00
36993;45292;1;47563;18856;4;2012;29990,00;29990,00
36932;65019;10;31554;18752;3;2012;1966999,99;1966999,99
37394;120284;97;17230;20810;4;2013;118268,46;118268,46
37442;68845;15;23116;18746;2;2013;36374,00;45498,00
37417;147644;57;30699;13184;4;2013;6000,00;6000,00
41928;190723;96;51794;17381;2;2011;1095410,13;3024069,46
36104;92411;54;52653;23587;4;2012;3380,00;8662,26
37857;238465;23;13862;22250;4;2013;21949,92;32970,08
37411;242700;83;11371;17168;4;2013;92200,00;407232,98
36923;159435;1;8023;22119;4;2012;3348,90;3348,90
37009;84469;82;21406;17470;4;2012;13800,00;13800,00
37418;25330;36;1306;20921;3;2013;98004164,16;98004164,16
36557;199153;47;5487;8428;4;2012;183750,00;183750,00
37008;218735;93;24826;17016;4;2012;149725,26;149725,26
37463;100518;36;30675;26085;4;2013;86766,52;86766,52
36559;195063;97;52679;11491;4;2012;60000,00;60000,00
36982;104423;43;7157;16600;2;2012;5480,00;5480,00
36958;49048;92;43341;8325;2;2012;2196,00;12436,20
36552;1821;1;49239;21223;4;2012;71740,41;268800,00
37390;234501;36;15537;21452;4;2013;409763,98;409763,98
37446;183038;43;50930;20650;4;2013;72789,60;72789,60
37481;246654;5;14735;20070;4;2013;112999,75;112999,75
36987;246476;57;25632;19590;4;2012;14988,00;14988,00
36982;41431;36;7193;48983;3;2012;15600,00;85000,68
37401;25325;95;29824;6036;4;2013;20000,00;20000,00
37484;190920;76;36649;24802;2;2013;5990,00;13124,35
36564;52985;95;13866;15498;4;2012;28000,00;28000,00
37421;112013;95;51836;20200;4;2013;12545,00;12545,00
37861;206643;95;3768;484;4;2013;26800,00;26800,00
37007;56829;5;2134;2955;4;2012;2534,40;2745,60
36573;9698;57;45882;21046;4;2012;52630,38;52630,38
37385;131715;95;39125;20671;4;2013;23000,00;23000,00
36514;210705;92;400;22878;4;2012;25900,00;25900,00
37920;41197;81;23988;54797;4;2013;1244775,00;1244775,00
36490;139768;95;23108;23602;4;2012;418429,80;488168,10
36936;246596;57;21439;17031;4;2012;566711,00;866007,96
37434;167311;36;8027;23004;2;2013;3115,20;3115,20
36995;49079;28;18820;313;2;2012;840,00;1680,00
37951;234476;81;19684;19957;4;2013;43391438,57;47560624,01
37390;37287;96;39128;15619;4;2013;408113,10;460260,87
37464;190987;99;49245;20610;4;2013;546845,00;546845,00
37017;5716;18;10520;5196;4;2012;48000,00;51218,21
37462;56816;1;29821;736;4;2013;33698,00;33698,00
37442;112357;95;13074;4506;4;2013;1650,00;2035,00
