ID_CONVENIO;FL_VERSAO;SQE_CONVENIO;NR_SIAFI;NR_SIGCON;NR_PLANO_SIGCON;NOME;DT_PUBLICACAO;DT_VIGENCIA_INICIAL;DT_VIGENCIA_ATUAL;TP_PESSOA_BENEFICIADA;QT_PESSOA_BENEFICIADA;VR_CONCEDE_PUBLIC;VR_EMEN_PARL_PUBLIC;VR_INTERV_PUBLIC;VR_CONTRA_PUBLIC;VR_RENDIMENTOS;VR_TOTAL_PUBLIC;
39348;2;31803;9130882;1451000030/2017;000024/2017;TERMO DE COLABORACAO COM A APAC FRUTAL.;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;200;4229332.6;0;0;0;0;4229332.6;
38258;2;31906;9132227;1451000004/2017;000008/2017;TERMO DE COLABORACAO COM A APAC DE LAGOA DA PRATA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;200;3900260.34;0;0;0;0;3900260.34;
38901;2;31835;9130926;1451000038/2017;000042/2017;TERMO DE COLABORACAO COM A APAC DE PEDRA AZUL;22/02/2017;22/02/2017;02/03/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;42;1361687.8;0;0;0;0;1361687.8;
38900;2;31836;9130927;1451000037/2017;000034/2017;TERMO DE COLABORACAO COM A APAC DE NOVA LIMA.;22/02/2017;22/02/2017;01/03/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;112;3200900.08;0;0;0;0;3200900.08;
38661;2;32302;9138986;1261000042/2017;000044/2017;
CONSTRUCAO DE PREDIO ESCOLAR PADRAO 4/98 DEOP - 12 SALAS DE AULA E DEMAIS DEPENDENCIAS;18/04/2017;18/04/2017;18/04/2019;ALUNOS;817;3709888.71;0;0;0;0;3709888.71;
38254;2;31864;9131000;1451000025/2017;000039/2017;TERMO DE COLABORACAO COM A APAC DE ITAUNA - FEMININA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;42;1248208.12;0;0;0;0;1248208.12;
38393;2;31922;9132240;1451000021/2017;000031/2017;TERMO DE COLABORACAO COM A APAC DE ALFENAS;25/02/2017;25/02/2017;04/03/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;80;2114515.52;0;0;0;0;2114515.52;
39386;2;31908;9132230;1451000027/2017;000019/2017;TERMO DE COLABORACAO COM A APAC DE JANUARIA.;24/02/2017;24/02/2017;03/03/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;70;1848001.28;0;0;0;0;1848001.28;
39390;2;31770;9130699;1371000002/2017;001367/2016;SERVICOS-ESPECIALIZADO-ELABORACAO DE PROJETO DE ENGENHARIA NA AREA DE SANEAMENTO;16/02/2017;16/02/2017;16/02/2018;POPULACAO;14216;154234.51;0;0;17137.17;0;171371.68;
39337;2;31815;9130897;1451000013/2017;000002/2017;TERMO DE COLABORACAO COM A APAC DE SAO JOAO DEL REI - FEMININA
;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;50;1426256.08;0;0;0;0;1426256.08;
39145;2;31920;9132237;1451000040/2017;000038/2017;TERMO DE COLABORACAO COM APAC DE TEOFILO OTONI;24/02/2017;24/02/2017;03/03/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;44;1185673.96;0;0;0;0;1185673.96;
38975;2;32634;9143486;1261000043/2017;000171/2016;EVENTOS-REALIZACAO-ESPACO CULTURAL;21/04/2017;21/04/2017;21/10/2018;POPULACAO;70000;1118084.66;0;0;0;0;1118084.66;
38915;2;32538;9143401;1491000045/2017;000050/2017;RECAPEAMENTO ASFALTICO EM CBUQ DE 9.281,66 M² DA AVENIDA LUIZ TANURE, BAIRRO CENTRO, NO MUNICIPIO DE MEDINA.;20/05/2017;20/05/2017;20/05/2019;POPULACAO;15000;0;250000;0;3451.65;0;253451.65;
38391;2;32847;9143969;1261000052/2017;000052/2017;COOPERACAO TECNICA E FINANCEIRA.;23/06/2017;23/06/2017;23/06/2018;ALUNOS;164;400184.54;0;0;0;0;400184.54;
38390;2;32848;9143971;1261000054/2017;000053/2017;REPASSE FINANCEIRO PARA ATENDIMENTO DE ALUNOS EDUCACAO FUNDAMENTAL DE ESCOLA MUNICIPALIZADA-JK;23/06/2017;23/06/2017;23/06/2018;ALUNOS;33;103479.5;0;0;0;0;103479.5;
38392;2;31926;9132248;1451000041/2017;000007/2017;TERMO DE COLABORACAO COM A APAC DE SALINAS;25/02/2017;25/02/2017;04/03/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;30;803567.56;0;0;0;0;803567.56;
39407;2;31863;9130998;1451000026/2017;000037/2017;TERMO DE COLABORACAO COM A APAC DE ITAUNA - MASCULINA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;195;4219150.3;0;0;0;0;4219150.3;
39406;2;31865;9131001;1451000017/2017;000021/2017;TERMO DE COLABORACAO COM A APAC DE CARATINGA.;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;126;3134339.92;0;0;0;0;3134339.92;
39149;2;32579;9143439;1491000046/2017;000047/2017;AQUISICAO DE SONDA PERFURATRIZ E VEICULO TIPO PICK UP;24/05/2017;24/05/2017;24/05/2018;POPULACAO;5646;0;128700;0;4300;0;133000;
